2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:43 | ============================================================
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:44 | SecVuln Agent Starting...
2025-10-16 00:39:52 | INFO     | secvuln-agent | __init__:45 | ============================================================
2025-10-16 00:39:52 | CRITICAL | secvuln-agent | main:378 | Fatal error: Device at row 18 missing required field: device_id
Traceback (most recent call last):
  File "C:\Projects\secvuln-agent\src\main.py", line 366, in main
    agent = SecVulnAgent()
            ^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\main.py", line 50, in __init__
    self.devices = self.config_loader.load_devices()
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 113, in load_devices
    self._validate_devices()
  File "C:\Projects\secvuln-agent\src\utils\config_loader.py", line 132, in _validate_devices
    raise ValueError(
ValueError: Device at row 18 missing required field: device_id
2025-10-16 13:58:44 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from CISA KEV
2025-10-16 13:58:46 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from GitHub Advisories (tier1)...
2025-10-16 13:58:47 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 37 CVEs from GitHub Advisories
2025-10-16 13:58:49 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from OpenCVE (tier1)...
2025-10-16 13:58:53 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 0 CVEs from OpenCVE
2025-10-16 13:58:55 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from RSS Feeds (tier2)...
2025-10-16 13:59:00 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 1 CVEs from RSS Feeds
2025-10-16 13:59:02 | INFO     | secvuln-agent | collect_vulnerabilities:150 | Collecting from NVD (tier3)...
2025-10-16 13:59:10 | INFO     | secvuln-agent | collect_vulnerabilities:158 | Collected 17 CVEs from NVD
2025-10-16 13:59:12 | INFO     | secvuln-agent | collect_vulnerabilities:181 | Total unique CVEs collected: 38
2025-10-16 13:59:12 | ERROR    | secvuln-agent | process_vulnerabilities:246 | Failed to process CVE CVE-2025-61581: '<' not supported between instances of 'NoneType' and 'float'
